Benchmark,Prompt Type,Subdirectory,Line Count
Ball,Spec_template,2024-05-18T11:12:19.123450,12
Ball,Spec_template,2024-05-18T11:13:19.349423,12
Ball,Spec_template,2024-05-18T11:26:15.970807,12
Ball,Spec_template,2024-05-18T10:53:18.377491,12
Ball,Spec_template,2024-05-16T19:48:59.609564,12
Ball,Spec_template,2024-05-18T10:46:15.935220,12
Ball,Spec_template,2024-05-18T11:23:30.210149,12
Ball,Spec_template,2024-05-17T13:48:22.432925,12
Ball,Spec_template,2024-05-18T10:42:25.675963,12
Ball,Spec_template,2024-05-18T10:49:35.708882,12
Ball,Spec_template,2024-05-14T15:22:09.448045,14
Ball,Spec_template,2024-05-17T12:58:48.349763,12
Ball,Spec_template,2024-05-17T14:33:41.755280,12
Ball,Spec_template,2024-05-18T11:27:22.438044,12
Ball,Spec_template,2024-05-18T10:48:30.923100,15
Ball,Spec_template,2024-05-18T11:22:02.912065,12
Ball,Spec_template,2024-05-17T12:54:43.553751,12
Ball,Spec_template,2024-05-18T11:00:14.607628,12
Ball,Spec_template,2024-05-17T14:18:50.381536,12
Ball,Spec_template,2024-05-17T22:51:11.930216,12
Ball,Spec_template,2024-05-18T11:18:08.311430,12
Ball,Spec_template,2024-05-18T10:43:52.063066,12
Ball,Spec_template,2024-05-17T21:02:30.490352,12
Ball,Spec_template,2024-05-17T17:04:56.346358,12
Ball,Spec_template,2024-05-18T11:24:49.472939,12
Ball,Spec_template,2024-05-18T11:01:28.365218,12
Ball,Spec_template,2024-05-17T12:56:30.427545,12
Ball,Spec_template,2024-05-18T11:28:47.033495,12
Ball,Spec_template,2024-05-07T15:01:03.586833,12
Ball,Spec_template,2024-05-18T11:06:35.582007,12
Ball,Spec_template,2024-05-18T11:19:25.012686,12
Ball,Spec_template,2024-05-18T11:15:59.362888,12
Ball,Spec_template,2024-05-18T11:04:18.869992,12
Ball,Spec_template,2024-05-18T10:56:17.726997,12
Ball,Spec_template,2024-05-18T10:57:27.912034,12
Ball,Spec_template,2024-05-17T21:04:09.745120,12
Ball,Spec_template,2024-05-18T10:55:00.265604,12
Ball,Spec_template,2024-05-18T10:44:57.129003,12
Ball,Spec_template,2024-05-18T10:50:41.382690,12
Ball,Spec_template,2024-05-18T11:29:57.217164,12
Ball,Spec_template,2024-05-18T11:31:16.616936,12
Ball,Spec_template,2024-05-18T10:58:46.624545,12
Ball,Spec_template,2024-05-16T19:53:34.763208,12
Ball,Spec_template,2024-05-18T11:20:20.270933,12
Ball,Spec_template,2024-05-18T11:08:01.683406,12
Ball,Spec_template,2024-05-18T10:52:00.447903,12
Ball,Spec_template,2024-05-17T14:49:06.476862,12
Ball,Spec_template,2024-05-16T19:52:01.894646,12
Ball,Spec_template,2024-05-14T14:04:59.776833,12
Ball,Spec_template,2024-05-17T15:02:47.819260,14
Ball,Spec_template,2024-05-18T11:02:46.891922,12
