<<<<<<< HEAD
,benchmark,prompt,total,compiled,correct,unclassified
0,Cube_Expansion,Spec_onlyNlAndSummary_template.prompt,28,26,6,19
1,Cube_Expansion,Spec_withoutFA_template.prompt,129,118,22,96
2,Cube_Expansion,Spec_onlySummaryAndHeaders_template.prompt,28,25,0,25
3,Cube_Expansion,No_tsl.prompt,2,2,0,2
4,builtup,1723551008458,1,1,0,1
5,builtup,1723640510485,1,1,0,1
6,Invaders,Spec_onlyNlAndSummary_template.prompt,8,7,0,7
7,Invaders,Spec_template.prompt,8,0,0,0
8,Invaders,Spec_onlySummaryAndHeaders_template.prompt,8,1,0,1
9,Invaders,No_tsl.prompt,2,2,0,2
10,Cube_Rotation,Spec_onlyNlAndSummary_template.prompt,52,1,0,0
11,Cube_Rotation,Spec_template.prompt,49,49,49,0
12,Cube_Rotation,Spec_onlySummaryAndHeaders_template.prompt,40,40,40,0
13,Cube_Rotation,No_tsl.prompt,2,2,0,2
14,Cube_and_Polygon,Spec_onlyNlAndSummary_template.prompt,20,20,18,0
15,Cube_and_Polygon,Spec_template.prompt,28,28,27,0
16,Cube_and_Polygon,Spec_onlySummaryAndHeaders_template.prompt,20,6,0,0
17,Cube_and_Polygon,No_tsl.prompt,2,2,0,2
18,Notes,Spec_onlyNlAndSummary_template.prompt,51,0,0,0
19,Notes,Spec_template.prompt,52,0,0,0
20,Notes,Spec_onlySummaryAndHeaders_template.prompt,50,15,0,15
21,Notes,No_tsl.prompt,2,2,0,2
22,Arbiter,builtup,1,1,0,1
23,Ball,Spec_onlyNlAndSummary_template.prompt,56,15,5,0
24,Ball,Spec_template.prompt,60,54,32,0
25,Ball,Spec_onlySummaryAndHeaders_template.prompt,54,15,0,0
26,Ball,No_tsl.prompt,2,2,0,2
27,GameOfLife,Spec_onlyNlAndSummary_template.prompt,8,6,0,6
28,GameOfLife,Spec_template.prompt,112,16,0,16
29,GameOfLife,Spec_onlySummaryAndHeaders_template.prompt,8,0,0,0
30,GameOfLife,No_tsl.prompt,2,2,0,2
31,Counter,Spec_onlyNlAndSummary_template.prompt,40,15,0,15
32,Counter,Spec_template.prompt,41,24,0,24
33,Counter,Spec_onlySummaryAndHeaders_template.prompt,40,17,0,17
34,Counter,No_tsl.prompt,2,2,0,2
35,Vending,Spec_onlyNlAndSummary_template.prompt,42,37,0,37
36,Vending,Spec_withoutFunctions_template.prompt,42,37,0,37
37,Vending,Spec_onlySummaryAndHeaders_template.prompt,42,32,0,32
38,Vending,No_tsl.prompt,2,2,0,2
=======

>>>>>>> big
